Date,Open,Close,High,Low,Volume,MA1,MA2
2008-02-21,107.1400,108.0700,108.4800,105.7100,7917696,105.3520,109.2440
2008-02-24,107.4300,110.0800,110.3200,107.4300,8159354,105.4140,109.2720
2008-02-25,109.5200,114.3800,114.9900,109.0500,18652006,105.5320,109.3210
2008-02-26,113.8400,116.4600,116.6300,112.9100,11856897,105.6970,109.3730
2008-02-27,115.6000,115.2400,115.9000,114.5600,7228469,105.8870,109.4220
2008-02-28,114.0400,113.8600,115.1400,113.3500,8476227,106.0730,109.4670
2008-03-02,113.8600,114.2300,114.8100,113.4800,6336586,106.2320,109.5090
2008-03-03,113.4000,115.7100,115.7200,112.7500,8595488,106.4030,109.5610
2008-03-04,116.4100,115.3900,116.4100,114.2500,8436291,106.5340,109.5980
2008-03-05,115.0600,112.5200,115.1500,112.2500,8018929,106.5640,109.6250
2008-03-06,111.8500,113.9400,114.7500,111.8000,8125283,106.6090,109.6610
2008-03-10,113.1200,114.0100,115.9900,113.1200,9896585,106.6580,109.7030
2008-03-11,115.8000,116.4900,116.5600,114.0400,10993206,106.7960,109.7660
2008-03-12,116.4400,117.0700,118.0000,115.1100,9085211,106.9360,109.8250
2008-03-13,115.6900,115.9100,116.7800,113.6400,9549728,107.0920,109.8750
2008-03-14,116.0700,115.2300,116.5200,112.6900,9737128,107.3030,109.9170
2008-03-17,113.0000,115.5500,117.0400,113.0000,9282392,107.5160,109.9620
2008-03-18,116.6000,118.4100,118.4300,113.8100,9969861,107.8610,110.0210
2008-03-19,118.2900,116.9400,118.5000,116.6500,9315439,108.1990,110.0750
2008-03-20,117.0900,118.3300,118.4800,116.6500,11418466,108.6140,110.1370
2008-03-24,118.5700,119.0600,119.7900,118.1300,8401844,109.0290,110.2200
2008-03-25,119.1000,117.9700,119.1000,117.1500,8445063,109.3900,110.3010
2008-03-26,117.5900,116.9100,117.9700,114.9600,9617448,109.7750,110.3700
2008-03-27,116.0200,115.5200,116.2000,114.5100,8437645,110.0270,110.4320
2008-03-28,115.8600,114.5700,116.7500,114.2100,6601601,110.2810,110.4930
2008-03-31,114.1500,115.1400,115.8700,113.3400,9715574,110.5520,110.5530
2008-04-01,115.2000,116.4900,118.3700,114.9700,11879938,110.8590,110.6160
2008-04-02,116.8400,114.8100,116.8800,113.9800,8044483,111.0880,110.6650
2008-04-03,114.3500,116.0200,116.8200,113.8600,7053675,111.3830,110.7180
2008-04-04,116.0500,115.7600,116.5800,114.6000,5733445,111.5760,110.7650
2008-04-07,116.3700,116.3100,117.3700,115.8200,6182489,111.7640,110.8160
2008-04-08,115.7200,116.2700,116.8800,115.2800,7285157,111.9990,110.8650
2008-04-09,116.5000,116.7700,117.7200,115.7200,6819318,112.2350,110.9260
2008-04-10,116.9300,118.7800,119.2200,116.8790,9128894,112.4890,110.9950
2008-04-11,117.3100,116.0000,117.8000,115.5100,9561875,112.6940,111.0480
2008-04-14,116.2000,117.2800,117.9400,115.9500,7752891,112.8970,111.1070
2008-04-15,117.1000,117.1700,117.6700,115.5400,8644714,113.0590,111.1630
2008-04-16,118.1500,120.4700,120.4700,117.7500,19319470,113.3100,111.2390
2008-04-17,122.3900,123.0800,123.7200,120.7000,19011725,113.6710,111.3300
2008-04-18,123.9200,124.4000,125.0000,123.1500,12496469,114.0870,111.4180
2008-04-21,123.6200,124.3500,124.5100,122.0500,6957823,114.5280,111.4990
2008-04-22,123.8700,123.6700,124.3500,123.0100,5418107,114.9360,111.5730
2008-04-23,123.6900,123.6000,124.7800,122.6400,7596961,115.3050,111.6460
2008-04-24,123.3800,124.1900,124.9000,122.7300,5997158,115.6580,111.7240
2008-04-25,124.5000,123.0800,124.5000,122.0600,6321186,115.9510,111.7930
2008-04-28,122.6100,121.6900,123.0500,121.6400,5611014,116.2620,111.8560
2008-04-29,122.0400,122.8500,123.2000,122.0400,7231133,116.5960,111.9270
